Original name of the certification,Normalized name of the certification
CONTENT SERVER 20.2 SYSTEM ADMINISTRATOR CERTIFICATION,CONTENT SERVER SYSTEM ADMINISTRATOR CERTIFICATION
LEVEL 1 CREDENTIAL,LEVEL 1 CREDENTIAL
CONTENT SERVER 16.2.4 BUSINESS CONSULTANT CERTIFICATION,CONTENT SERVER BUSINESS CONSULTANT CERTIFICATION
CERTIFICAZIONE - OPENTEXT EXTENDED ECM FOR SAP SOLUTIONS FOUNDATION V16,OPENTEXT EXTENDED ECM FOR SAP SOLUTIONS FOUNDATION CERTIFICATION
CERTIFIED SIEBEL FUNDAMENTALS FOR BUSINESS ANALYST (SIEBEL 7.7),SIEBEL FUNDAMENTALS FOR BUSINESS ANALYST CERTIFICATION
CERTIFICACION SCRUM MASTER - PSM I,SCRUM MASTER CERTIFICATION
GENESYS CLOUD CERTIFIED PROFESSIONAL,GENESYS CLOUD PROFESSIONAL CERTIFICATION
GENESYS CERTIFIED SIP SERVER 8 CONSULTANT,GENESYS SIP SERVER 8 CONSULTANT CERTIFICATION
GENESYS CERTIFIED INFO MART 8 CONSULTANT,GENESYS INFO MART 8 CONSULTANT CERTIFICATION
CLOUD INTEGRATION FOR APPLICATION MODERNIZATION FOUNDATION LEVEL,CLOUD INTEGRATION FOUNDATION LEVEL CERTIFICATION
DATA GOVERNANCE & PRIVACY FOUNDATION LEVEL,DATA GOVERNANCE FOUNDATION LEVEL CERTIFICATION
CLOUD LAKEHOUSE DATA MANAGEMENT FOUNDATION LEVEL,CLOUD LAKEHOUSE DATA MANAGEMENT FOUNDATION CERTIFICATION
BUSINESS 360 FOUNDATION LEVEL CERTIFICATION,BUSINESS 360 FOUNDATION CERTIFICATION
TERADATA 14 CERTIFIED TECHNICAL SPECIALIST,TERADATA 14 TECHNICAL SPECIALIST CERTIFICATION
TERADATA 14 SQL,TERADATA 14 SQL CERTIFICATION
TERADATA 14 BASICS,TERADATA 14 BASICS CERTIFICATION
TCP - BPM ENTERPRISE,BPM ENTERPRISE CERTIFICATION
TCA - TIBCO CLOUD EVENTS,TIBCO CLOUD EVENTS CERTIFICATION
TCP - BUSINESSWORKS CONTAINER EDITION,BUSINESSWORKS CONTAINER EDITION CERTIFICATION
TCA - TIBCO CLOUD API MANAGEMENT,TIBCO CLOUD API MANAGEMENT CERTIFICATION
TCA - TIBCO BUSINESSWORKS,TIBCO BUSINESSWORKS CERTIFICATION
TCA - TIBCO SPOTFIRE,TIBCO SPOTFIRE CERTIFICATION
TCP - TIBCO BUSINESSWORKS,TIBCO BUSINESSWORKS CERTIFICATION
TCP - TIBCO SPOTFIRE,TIBCO SPOTFIRE CERTIFICATION
TCA - TIBCO ACTIVEMATRIX BPM,TIBCO ACTIVEMATRIX BPM CERTIFICATION
GENESYS CERTIFIED PROFESSIONAL (GCP) - SIP SERVER 8 CONSULTANT,GENESYS SIP SERVER 8 CONSULTANT CERTIFICATION
GENESYS CERTIFIED PROFESSIONAL (GCP) - INBOUND VOICE 8.5 CONSULTANT,GENESYS INBOUND VOICE 8.5 CONSULTANT CERTIFICATION
GENESYS CERTIFIED INBOUND VOICE 8 DEVELOPER,GENESYS INBOUND VOICE 8 DEVELOPER CERTIFICATION
SCRUM DEVELOPER CERTIFIED (SDC),SCRUM DEVELOPER CERTIFICATION
GENESYS CERTIFIED PROFESSIONAL 8 - SYSTEM CONSULTANT, VOICE PLATFORM,GENESYS SYSTEM CONSULTANT, VOICE PLATFORM CERTIFICATION
GENESYS CERTIFIED E-SERVICES 8 CONSULTANT,GENESYS E-SERVICES 8 CONSULTANT CERTIFICATION
ITIL V4 FOUNDATION CERTIFICATE IN IT SERVICE MANAGEMENT,ITIL V4 FOUNDATION CERTIFICATION
SAP CERTIFIED DEVELOPMENT ASSOCIATE - SAP FIORI APPLICATION DEVELOPER (C_FIORDEV_20),SAP FIORI APPLICATION DEVELOPER CERTIFICATION
C_TAW12_750,C_TAW12_750 CERTIFICATION
TMC - TIBCO DATA SCIENCE - PREDICTIVE MODELING AND SCORING,TIBCO DATA SCIENCE - PREDICTIVE MODELING AND SCORING CERTIFICATION
TMC - TIBCO® DATA SCIENCE - PREDICTIVE ANALYSIS,TIBCO DATA SCIENCE - PREDICTIVE ANALYSIS CERTIFICATION
TCA - TIBCO STREAMING,TIBCO STREAMING CERTIFICATION
TCA - TIBCO DATA SCIENCE,TIBCO DATA SCIENCE CERTIFICATION
SCRUM FUNDAMENTALS CERTIFIED (SFC),SCRUM FUNDAMENTALS CERTIFICATION
TCA - MESSAGING,TIBCO MESSAGING CERTIFICATION
TCP - TIBCO MESSAGING,TIBCO MESSAGING CERTIFICATION
TCA - BPM ENTERPRISE,BPM ENTERPRISE CERTIFICATION
TCP - BUSINESSWORKS,BUSINESSWORKS CERTIFICATION
TCA - BUSINESSWORKS,BUSINESSWORKS CERTIFICATION
AGILEPM 2014 FOUNDATION,AGILEPM FOUNDATION CERTIFICATION
ISTQB - AGILE TESTER EXTENSION,ISTQB - AGILE TESTER EXTENSION CERTIFICATION
ISTQB - FOUNDATION LEVEL,ISTQB - FOUNDATION LEVEL CERTIFICATION
SOA CERTIFIED CONSULTANT,SOA CONSULTANT CERTIFICATION
PRINCE2 FOUNDATION CERTIFICATE IN PROJECT MANAGEMENT,PRINCE2 FOUNDATION CERTIFICATION
AGILE PM - AGILE PROJECT MANAGEMENT FOUNDATION EXAMINATION,AGILE PM FOUNDATION CERTIFICATION
CERTIFICACIÓN ITIL V3 FOUNDATION,ITIL V3 FOUNDATION CERTIFICATION
SCRUM MASTER CERTIFIED (SMC TM),SCRUM MASTER CERTIFICATION
PRINCE 2 FOUNDATION,PRINCE2 FOUNDATION CERTIFICATION
CLOUD APPLICATION INTEGRATION (CAI) IMPLEMENTATION PRACTITIONER CERTIFICATION,CAI IMPLEMENTATION PRACTITIONER CERTIFICATION
IBM CERTIFIED SOLUTION DEVELOPER - IBM INFOSPHERE DATASTAGE V8.5,IBM INFOSPHERE DATASTAGE V8.5 CERTIFICATION
EXAM: SIEBEL 8 CONSULTANT,SIEBEL 8 CONSULTANT CERTIFICATION
AWS TECHNICAL PROFESIONAL,AWS TECHNICAL PROFESSIONAL CERTIFICATION
CLOUD CERTIFIED PROFESSIONAL,CLOUD CERTIFIED PROFESSIONAL CERTIFICATION
ORACLE CERTIFIED PROFESSIONAL, JAVA EE 5 WEB COMPONENT DEVELOPER,ORACLE JAVA EE 5 WEB COMPONENT DEVELOPER CERTIFICATION
ORACLE CERTIFIED EXPERT, JAVA EE 6 WEB SERVICES DEVELOPER,ORACLE JAVA EE 6 WEB SERVICES DEVELOPER CERTIFICATION
ORACLE CERTIFIED MASTER, JAVA EE 5 ENTERPRISE ARCHITECT,ORACLE JAVA EE 5 ENTERPRISE ARCHITECT CERTIFICATION
ORACLE CERTIFIED MASTER, JAVA EE 6 ENTERPRISE ARCHITECT,ORACLE JAVA EE 6 ENTERPRISE ARCHITECT CERTIFICATION
ORACLE SOA SUITE 11G CERTIFIED IMPLEMENTATION SPECIALIST,ORACLE SOA SUITE 11G IMPLEMENTATION SPECIALIST CERTIFICATION
AWS AWS CERTIFIED SOLUTIONS ARCHITECT - ASSOCIATE,AWS CERTIFIED SOLUTIONS ARCHITECT - ASSOCIATE CERTIFICATION
AWS DEVELOPER ASSOCIATE,AWS DEVELOPER ASSOCIATE CERTIFICATION
SCRUM CERTIFIED FUNDAMENTALS,SCRUM FUNDAMENTALS CERTIFICATION
MICROFOCUS SILK TEST WORKBENCH - SCRIPTING ESSENTIALS,SILK TEST WORKBENCH - SCRIPTING ESSENTIALS CERTIFICATION
(SMC) SCRUM MASTER CERTIFIED,SCRUM MASTER CERTIFICATION
CERTIFICADO SCRUM FUNDAMENTALS,SCRUM FUNDAMENTALS CERTIFICATION
ITIL FOUNDATION,ITIL FOUNDATION CERTIFICATION
ACP,ACP CERTIFICATION
KMP II - KANBAN SYSTEMS IMPROVEMENT,KANBAN SYSTEMS IMPROVEMENT CERTIFICATION
KMP I - KANBAN SYSTEM DESIGN,KANBAN SYSTEM DESIGN CERTIFICATION
MICROSOFT DYNAMICS 365 CUSTOMER ENGAGEMENT CORE,MICROSOFT DYNAMICS 365 CUSTOMER ENGAGEMENT CORE CERTIFICATION
SCRUM MASTER CERTIFIED,SCRUM MASTER CERTIFICATION
SCRUM FUNDAMENTALS CERTIFIED,SCRUM FUNDAMENTALS CERTIFICATION
MCSD: MICROSOFT CERTIFIED SOLUTION DEVELOPER,MCSD CERTIFICATION
EXAM: WINDOWS COMMUNICATION FOUNDATION DEVELOPMENT WITH MICROSOFT .NET FRAMEWORK 4,WCF DEVELOPMENT CERTIFICATION
EXAM: ACCESSING DATA WITH MS .NET FRAMEWORK 4,DATA ACCESS WITH .NET CERTIFICATION
EXAM: WEB APPLICATIONS DEVELOPMENT WITH MICROSOFT .NET FRAMEWORK 4,WEB APPLICATION DEVELOPMENT CERTIFICATION
AWS CERTIFIED CLOUD PRACTITIONER,AWS CERTIFIED CLOUD PRACTITIONER CERTIFICATION
